,ColourSet,Code,Sequence,Hex,Name,RGB
0,EA,Beige,99,#E3B08C,Beige,"(0.8901960784313725, 0.6901960784313725, 0.5490196078431373)"
1,EA,Black,255,#000000,Black,"(0.0, 0.0, 0.0)"
2,EA,Blue,1,#0F7BAF,Blue,"(0.058823529411764705, 0.4823529411764706, 0.6862745098039216)"
3,EA,Cyan,11,#00B39E,Cyan,"(0.0, 0.7019607843137254, 0.6196078431372549)"
4,EA,DarkGreen,10,#027738,DarkGreen,"(0.00784313725490196, 0.4666666666666667, 0.2196078431372549)"
5,EA,DarkPurple,8,#614E7D,DarkPurple,"(0.3803921568627451, 0.3058823529411765, 0.49019607843137253)"
6,EA,DarkRed,99,#B33000,DarkRed,"(0.7019607843137254, 0.18823529411764706, 0.0)"
7,EA,DuskyRed,6,#D89680,DuskyRed,"(0.8470588235294118, 0.5882352941176471, 0.5019607843137255)"
8,EA,EA_Brown,255,#530000,EA_Brown,"(0.3254901960784314, 0.0, 0.0)"
9,EA,Green,12,#61BC3A,Green,"(0.3803921568627451, 0.7372549019607844, 0.22745098039215686)"
10,EA,Grey,255,#959595,Grey,"(0.5843137254901961, 0.5843137254901961, 0.5843137254901961)"
11,EA,LightBlue,2,#70C9F2,LightBlue,"(0.4392156862745098, 0.788235294117647, 0.9490196078431372)"
12,EA,LightBrown,9,#D2631A,LightBrown,"(0.8235294117647058, 0.38823529411764707, 0.10196078431372549)"
13,EA,LightGrey,99,#C9C9C9,LightGrey,"(0.788235294117647, 0.788235294117647, 0.788235294117647)"
14,EA,LightOrange,7,#FFBC80,LightOrange,"(1.0, 0.7372549019607844, 0.5019607843137255)"
15,EA,Lilac,99,#AFA4BD,Lilac,"(0.6862745098039216, 0.6431372549019608, 0.7411764705882353)"
16,EA,Maroon,255,#800000,Maroon,"(0.5019607843137255, 0.0, 0.0)"
17,EA,MidBlue,255,#51BBF1,MidBlue,"(0.3176470588235294, 0.7333333333333333, 0.9450980392156862)"
18,EA,MidGreen,255,#97E27A,MidGreen,"(0.592156862745098, 0.8862745098039215, 0.47843137254901963)"
19,EA,Orange,5,#FF7B00,Orange,"(1.0, 0.4823529411764706, 0.0)"
20,EA,PastelPink,99,#F68BA2,PastelPink,"(0.9647058823529412, 0.5450980392156862, 0.6352941176470588)"
21,EA,Pink,99,#FF7BAB,Pink,"(1.0, 0.4823529411764706, 0.6705882352941176)"
22,EA,Purple,99,#CD59FF,Purple,"(0.803921568627451, 0.34901960784313724, 1.0)"
23,EA,Red,3,#ED1745,Red,"(0.9294117647058824, 0.09019607843137255, 0.27058823529411763)"
24,EA,RedRed,255,#FF0000,RedRed,"(1.0, 0.0, 0.0)"
25,EA,Yellow,4,#FFBA2D,Yellow,"(1.0, 0.7294117647058823, 0.17647058823529413)"
26,EA,Yellower,255,#FFE614,Yellower,"(1.0, 0.9019607843137255, 0.0784313725490196)"
27,FUEL,Coal,6,#800000,,"(0.5019607843137255, 0.0, 0.0)"
28,FUEL,Diesel,7,#FF0000,,"(1.0, 0.0, 0.0)"
29,FUEL,Gas,5,#614E7D,,"(0.3803921568627451, 0.3058823529411765, 0.49019607843137253)"
30,FUEL,Gas and oil,7,#AFA4BD,,"(0.6862745098039216, 0.6431372549019608, 0.7411764705882353)"
31,FUEL,Geothermal,2,#FF7B00,,"(1.0, 0.4823529411764706, 0.0)"
32,FUEL,Hydro,4,#959595,,"(0.5843137254901961, 0.5843137254901961, 0.5843137254901961)"
33,FUEL,Other,9,#530000,,"(0.3254901960784314, 0.0, 0.0)"
34,FUEL,Thermal,1,#ED1745,,"(0.9294117647058824, 0.09019607843137255, 0.27058823529411763)"
35,FUEL,Wind,3,#51BBF1,,"(0.3176470588235294, 0.7333333333333333, 0.9450980392156862)"
36,FUEL,Wood waste,8,#00B39E,,"(0.0, 0.7019607843137254, 0.6196078431372549)"
37,HEAT7,,1,#0F7BAF,,"(0.058823529411764705, 0.4823529411764706, 0.6862745098039216)"
38,HEAT7,,2,#51BBF1,,"(0.3176470588235294, 0.7333333333333333, 0.9450980392156862)"
39,HEAT7,,3,#97E27A,,"(0.592156862745098, 0.8862745098039215, 0.47843137254901963)"
40,HEAT7,,4,#FFE614,,"(1.0, 0.9019607843137255, 0.0784313725490196)"
41,HEAT7,,5,#FF7B00,,"(1.0, 0.4823529411764706, 0.0)"
42,HEAT7,,6,#ED1745,,"(0.9294117647058824, 0.09019607843137255, 0.27058823529411763)"
43,HEAT7,,7,#800000,,"(0.5019607843137255, 0.0, 0.0)"
44,ISLAND,NI,1,#ED1745,,"(0.9294117647058824, 0.09019607843137255, 0.27058823529411763)"
45,ISLAND,SI,2,#0F7BAF,,"(0.058823529411764705, 0.4823529411764706, 0.6862745098039216)"
46,ISLAND_1,N,1,#ED1745,,"(0.9294117647058824, 0.09019607843137255, 0.27058823529411763)"
47,ISLAND_1,S,2,#0F7BAF,,"(0.058823529411764705, 0.4823529411764706, 0.6862745098039216)"
48,LINE,,1,#FF7B00,,"(1.0, 0.4823529411764706, 0.0)"
49,LINE,,2,#0F7BAF,,"(0.058823529411764705, 0.4823529411764706, 0.6862745098039216)"
50,LINE,,3,#ED1745,,"(0.9294117647058824, 0.09019607843137255, 0.27058823529411763)"
51,LINE,,4,#70C9F2,,"(0.4392156862745098, 0.788235294117647, 0.9490196078431372)"
52,LINE,,5,#FFBA2D,,"(1.0, 0.7294117647058823, 0.17647058823529413)"
53,LINE,,6,#F68BA2,,"(0.9647058823529412, 0.5450980392156862, 0.6352941176470588)"
54,LINE,,7,#614E7D,,"(0.3803921568627451, 0.3058823529411765, 0.49019607843137253)"
55,LINE,,8,#D2631A,,"(0.8235294117647058, 0.38823529411764707, 0.10196078431372549)"
56,LINE,,9,#027738,,"(0.00784313725490196, 0.4666666666666667, 0.2196078431372549)"
57,LINE,,10,#00B39E,,"(0.0, 0.7019607843137254, 0.6196078431372549)"
58,LINE,,11,#B33000,,"(0.7019607843137254, 0.18823529411764706, 0.0)"
59,LINE,,12,#61BC3A,,"(0.3803921568627451, 0.7372549019607844, 0.22745098039215686)"
60,LINE,,13,#D89680,,"(0.8470588235294118, 0.5882352941176471, 0.5019607843137255)"
61,LINE,,14,#FFBC80,,"(1.0, 0.7372549019607844, 0.5019607843137255)"
62,LINE,,15,#FF7BAB,,"(1.0, 0.4823529411764706, 0.6705882352941176)"
63,LINE,,16,#AFA4BD,,"(0.6862745098039216, 0.6431372549019608, 0.7411764705882353)"
64,LINE,,17,#E3B08C,,"(0.8901960784313725, 0.6901960784313725, 0.5490196078431373)"
65,LINE,,18,#C9C9C9,,"(0.788235294117647, 0.788235294117647, 0.788235294117647)"
66,LINE,,19,#CD59FF,,"(0.803921568627451, 0.34901960784313724, 1.0)"
67,LINE,,20,#959595,,"(0.5843137254901961, 0.5843137254901961, 0.5843137254901961)"
68,LINE,,21,#FF0000,,"(1.0, 0.0, 0.0)"
69,LINE,,22,#800000,,"(0.5019607843137255, 0.0, 0.0)"
70,LINE,,23,#97E27A,,"(0.592156862745098, 0.8862745098039215, 0.47843137254901963)"
71,LINE,,24,#FFE614,,"(1.0, 0.9019607843137255, 0.0784313725490196)"
72,LINE,,25,#51BBF1,,"(0.3176470588235294, 0.7333333333333333, 0.9450980392156862)"
73,LINE,,26,#000000,,"(0.0, 0.0, 0.0)"
74,NZ,NZ,1,#FF7B00,,"(1.0, 0.4823529411764706, 0.0)"
75,OPEN_INTEREST,MON,1,#FAA61A,,"(0.9803921568627451, 0.6509803921568628, 0.10196078431372549)"
76,OPEN_INTEREST,QTR,2,#70CAF2,,"(0.4392156862745098, 0.792156862745098, 0.9490196078431372)"
77,OPEN_INTEREST,STR,3,#0F7BAF,,"(0.058823529411764705, 0.4823529411764706, 0.6862745098039216)"
78,OPEN_INTEREST,VAS,4,#530000,,"(0.3254901960784314, 0.0, 0.0)"
79,ZONE,CNI,2,#FF7B00,,"(1.0, 0.4823529411764706, 0.0)"
80,ZONE,LNI,3,#61BC3A,,"(0.3803921568627451, 0.7372549019607844, 0.22745098039215686)"
81,ZONE,LSI,5,#0F7BAF,,"(0.058823529411764705, 0.4823529411764706, 0.6862745098039216)"
82,ZONE,UNI,1,#ED1745,,"(0.9294117647058824, 0.09019607843137255, 0.27058823529411763)"
83,ZONE,USI,4,#70C9F2,,"(0.4392156862745098, 0.788235294117647, 0.9490196078431372)"
